Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Attempted Sexual Offences,13,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2010
Contact Sexual Offences,25,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2010
Carjacking,96,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2010
Robbery at residential premises,76,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2010
Robbery at non-residential premises,50,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2010
Robbery of cash in transit,1,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2010
Bank robbery,0,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2010
Truck hijacking ,5,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2010
Arson,24,Kwazakele,Contact-Related Crimes,-32.8707381,27.3876141,2010
Malicious damage to property,367,Kwazakele,Contact-Related Crimes,-32.8707381,27.3876141,2010
Burglary at non-residential premises,55,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2010
Burglary at residential premises,522,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2010
Theft of motor vehicle and motorcycle,147,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2010
Theft out of or from motor vehicle,127,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2010
Stock-theft,0,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2010
All theft not mentioned elsewhere,449,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2010
Commercial crime,170,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2010
Shoplifting,202,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2010
Illegal possession of firearms and ammunition,68,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2010
Drug-related crime,68,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2010
Driving under the influence of alcohol or drugs,398,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2010
Sexual Offences detected as a result of police action,0,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2010
Murder,38,Motherwell,Contact Crimes,-33.796568,25.583835,2010
Attempted murder,27,Motherwell,Contact Crimes,-33.796568,25.583835,2010
Assault with the intent to inflict grievous bodily harm,406,Motherwell,Contact Crimes,-33.796568,25.583835,2010
Common assault,209,Motherwell,Contact Crimes,-33.796568,25.583835,2010
Common robbery,48,Motherwell,Contact Crimes,-33.796568,25.583835,2010
Robbery with aggravating circumstances,244,Motherwell,Contact Crimes,-33.796568,25.583835,2010
Rape,129,Motherwell,Sexual Offences,-33.796568,25.583835,2010
Sexual Assault,10,Motherwell,Sexual Offences,-33.796568,25.583835,2010
Attempted Sexual Offences,10,Motherwell,Sexual Offences,-33.796568,25.583835,2010
Contact Sexual Offences,8,Motherwell,Sexual Offences,-33.796568,25.583835,2010
Carjacking,43,Motherwell,Aggravated Robbery,-33.796568,25.583835,2010
Robbery at residential premises,17,Motherwell,Aggravated Robbery,-33.796568,25.583835,2010
Robbery at non-residential premises,18,Motherwell,Aggravated Robbery,-33.796568,25.583835,2010
Robbery of cash in transit,2,Motherwell,Aggravated Robbery,-33.796568,25.583835,2010
Bank robbery,0,Motherwell,Aggravated Robbery,-33.796568,25.583835,2010
Truck hijacking ,1,Motherwell,Aggravated Robbery,-33.796568,25.583835,2010
Arson,16,Motherwell,Contact-Related Crimes,-33.796568,25.583835,2010
Malicious damage to property,132,Motherwell,Contact-Related Crimes,-33.796568,25.583835,2010
Burglary at non-residential premises,27,Motherwell,Property-Related Crimes,-33.796568,25.583835,2010
Burglary at residential premises,304,Motherwell,Property-Related Crimes,-33.796568,25.583835,2010
Theft of motor vehicle and motorcycle,79,Motherwell,Property-Related Crimes,-33.796568,25.583835,2010
Theft out of or from motor vehicle,73,Motherwell,Property-Related Crimes,-33.796568,25.583835,2010
Stock-theft,7,Motherwell,Property-Related Crimes,-33.796568,25.583835,2010
All theft not mentioned elsewhere,226,Motherwell,Other Serious Crimes,-33.796568,25.583835,2010
Commercial crime,45,Motherwell,Other Serious Crimes,-33.796568,25.583835,2010
Shoplifting,110,Motherwell,Other Serious Crimes,-33.796568,25.583835,2010
Illegal possession of firearms and ammunition,31,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2010
Drug-related crime,323,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2010
Driving under the influence of alcohol or drugs,325,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2010
Sexual Offences detected as a result of police action,0,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2010
Murder,6,Mount Road,Contact Crimes,-33.955318,25.5947301,2010
Attempted murder,17,Mount Road,Contact Crimes,-33.955318,25.5947301,2010
Assault with the intent to inflict grievous bodily harm,151,Mount Road,Contact Crimes,-33.955318,25.5947301,2010
Common assault,377,Mount Road,Contact Crimes,-33.955318,25.5947301,2010
Common robbery,152,Mount Road,Contact Crimes,-33.955318,25.5947301,2010
Robbery with aggravating circumstances,389,Mount Road,Contact Crimes,-33.955318,25.5947301,2010
Rape,43,Mount Road,Sexual Offences,-33.955318,25.5947301,2010
Sexual Assault,9,Mount Road,Sexual Offences,-33.955318,25.5947301,2010
Attempted Sexual Offences,0,Mount Road,Sexual Offences,-33.955318,25.5947301,2010
Contact Sexual Offences,11,Mount Road,Sexual Offences,-33.955318,25.5947301,2010
Carjacking,17,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2010
Robbery at residential premises,29,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2010
Robbery at non-residential premises,96,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2010
Robbery of cash in transit,5,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2010
Bank robbery,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2010
Truck hijacking ,5,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2010
Arson,5,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2010
Malicious damage to property,483,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2010
Burglary at non-residential premises,740,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2010
Burglary at residential premises,546,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2010
Theft of motor vehicle and motorcycle,356,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2010
Theft out of or from motor vehicle,831,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2010
Stock-theft,0,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2010
All theft not mentioned elsewhere,1657,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2010
Commercial crime,435,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2010
Shoplifting,878,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2010
Illegal possession of firearms and ammunition,11,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2010
Drug-related crime,210,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2010
Driving under the influence of alcohol or drugs,291,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2010
Sexual Offences detected as a result of police action,0,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2010
Murder,82,New Brighton,Contact Crimes,-33.8994277,25.5725492,2010
Attempted murder,49,New Brighton,Contact Crimes,-33.8994277,25.5725492,2010
Assault with the intent to inflict grievous bodily harm,825,New Brighton,Contact Crimes,-33.8994277,25.5725492,2010
Common assault,508,New Brighton,Contact Crimes,-33.8994277,25.5725492,2010
Common robbery,72,New Brighton,Contact Crimes,-33.8994277,25.5725492,2010
Robbery with aggravating circumstances,395,New Brighton,Contact Crimes,-33.8994277,25.5725492,2010
Rape,194,New Brighton,Sexual Offences,-33.8994277,25.5725492,2010
Sexual Assault,8,New Brighton,Sexual Offences,-33.8994277,25.5725492,2010
Attempted Sexual Offences,8,New Brighton,Sexual Offences,-33.8994277,25.5725492,2010
Contact Sexual Offences,14,New Brighton,Sexual Offences,-33.8994277,25.5725492,2010
Carjacking,41,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2010
Robbery at residential premises,69,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2010
Robbery at non-residential premises,33,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2010
Robbery of cash in transit,1,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2010
Bank robbery,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2010
Truck hijacking ,5,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2010
Arson,13,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2010
Malicious damage to property,279,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2010
Burglary at non-residential premises,65,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2010
Burglary at residential premises,525,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2010
Theft of motor vehicle and motorcycle,91,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2010
Theft out of or from motor vehicle,145,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2010
Stock-theft,0,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2010
All theft not mentioned elsewhere,449,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2010
Commercial crime,44,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2010
Shoplifting,139,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2010
Illegal possession of firearms and ammunition,54,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2010
Drug-related crime,153,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2010
Driving under the influence of alcohol or drugs,245,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2010
Sexual Offences detected as a result of police action,0,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2010
Murder,21,Swartkops,Contact Crimes,-33.8513015,25.6041969,2010
Attempted murder,19,Swartkops,Contact Crimes,-33.8513015,25.6041969,2010
Assault with the intent to inflict grievous bodily harm,196,Swartkops,Contact Crimes,-33.8513015,25.6041969,2010
Common assault,146,Swartkops,Contact Crimes,-33.8513015,25.6041969,2010
Common robbery,36,Swartkops,Contact Crimes,-33.8513015,25.6041969,2010
Robbery with aggravating circumstances,190,Swartkops,Contact Crimes,-33.8513015,25.6041969,2010
Rape,48,Swartkops,Sexual Offences,-33.8513015,25.6041969,2010
Sexual Assault,4,Swartkops,Sexual Offences,-33.8513015,25.6041969,2010
Attempted Sexual Offences,3,Swartkops,Sexual Offences,-33.8513015,25.6041969,2010
Contact Sexual Offences,10,Swartkops,Sexual Offences,-33.8513015,25.6041969,2010
Carjacking,20,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2010
Robbery at residential premises,13,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2010
Robbery at non-residential premises,18,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2010
Robbery of cash in transit,1,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2010
Bank robbery,0,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2010
Truck hijacking ,3,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2010
Arson,9,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2010
Malicious damage to property,126,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2010
Burglary at non-residential premises,158,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2010
Burglary at residential premises,272,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2010
Theft of motor vehicle and motorcycle,33,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2010
Theft out of or from motor vehicle,203,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2010
Stock-theft,14,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2010
All theft not mentioned elsewhere,456,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2010
Commercial crime,53,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2010
Shoplifting,28,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2010
Illegal possession of firearms and ammunition,6,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2010
Drug-related crime,20,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2010
Driving under the influence of alcohol or drugs,275,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2010
Sexual Offences detected as a result of police action,0,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2010
Murder,10,Uitenhage,Contact Crimes,-33.765462,25.4007937,2010
Attempted murder,12,Uitenhage,Contact Crimes,-33.765462,25.4007937,2010
Assault with the intent to inflict grievous bodily harm,113,Uitenhage,Contact Crimes,-33.765462,25.4007937,2010
Common assault,230,Uitenhage,Contact Crimes,-33.765462,25.4007937,2010
Common robbery,74,Uitenhage,Contact Crimes,-33.765462,25.4007937,2010
Robbery with aggravating circumstances,117,Uitenhage,Contact Crimes,-33.765462,25.4007937,2010
Rape,36,Uitenhage,Sexual Offences,-33.765462,25.4007937,2010
Sexual Assault,7,Uitenhage,Sexual Offences,-33.765462,25.4007937,2010
Attempted Sexual Offences,2,Uitenhage,Sexual Offences,-33.765462,25.4007937,2010
Contact Sexual Offences,10,Uitenhage,Sexual Offences,-33.765462,25.4007937,2010
Carjacking,3,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2010
Robbery at residential premises,15,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2010
Robbery at non-residential premises,29,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2010
Robbery of cash in transit,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2010
Bank robbery,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2010
Truck hijacking ,1,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2010
Arson,5,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2010
Malicious damage to property,133,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2010
Burglary at non-residential premises,166,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2010
Burglary at residential premises,255,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2010
Theft of motor vehicle and motorcycle,119,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2010
Theft out of or from motor vehicle,326,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2010
Stock-theft,36,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2010
All theft not mentioned elsewhere,624,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2010
Commercial crime,164,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2010
Shoplifting,335,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2010
Illegal possession of firearms and ammunition,11,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2010
Drug-related crime,157,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2010
Driving under the influence of alcohol or drugs,490,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2010
Sexual Offences detected as a result of police action,0,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2010
Murder,31,Walmer,Contact Crimes,-33.9788678,25.5853756,2010
Attempted murder,16,Walmer,Contact Crimes,-33.9788678,25.5853756,2010
Assault with the intent to inflict grievous bodily harm,454,Walmer,Contact Crimes,-33.9788678,25.5853756,2010
Common assault,381,Walmer,Contact Crimes,-33.9788678,25.5853756,2010
Common robbery,62,Walmer,Contact Crimes,-33.9788678,25.5853756,2010
Robbery with aggravating circumstances,193,Walmer,Contact Crimes,-33.9788678,25.5853756,2010
Rape,66,Walmer,Sexual Offences,-33.9788678,25.5853756,2010
Sexual Assault,11,Walmer,Sexual Offences,-33.9788678,25.5853756,2010
Attempted Sexual Offences,5,Walmer,Sexual Offences,-33.9788678,25.5853756,2010
Contact Sexual Offences,4,Walmer,Sexual Offences,-33.9788678,25.5853756,2010
Carjacking,5,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2010
Robbery at residential premises,34,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2010
Robbery at non-residential premises,17,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2010
Robbery of cash in transit,3,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2010
Bank robbery,1,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2010
Truck hijacking ,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2010
Arson,20,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2010
Malicious damage to property,317,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2010
Burglary at non-residential premises,220,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2010
Burglary at residential premises,703,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2010
Theft of motor vehicle and motorcycle,160,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2010
Theft out of or from motor vehicle,433,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2010
Stock-theft,0,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2010
All theft not mentioned elsewhere,872,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2010
Commercial crime,149,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2010
Shoplifting,258,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2010
