Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Sexual Assault,13,Kamesh,Sexual Offences,-33.769185,25.3660359,2010
Attempted Sexual Offences,7,Kamesh,Sexual Offences,-33.769185,25.3660359,2010
Contact Sexual Offences,8,Kamesh,Sexual Offences,-33.769185,25.3660359,2010
Carjacking,3,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2010
Robbery at residential premises,12,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2010
Robbery at non-residential premises,10,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2010
Robbery of cash in transit,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2010
Bank robbery,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2010
Truck hijacking ,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2010
Arson,5,Kamesh,Contact-Related Crimes,-33.769185,25.3660359,2010
Malicious damage to property,148,Kamesh,Contact-Related Crimes,-33.769185,25.3660359,2010
Burglary at non-residential premises,23,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2010
Burglary at residential premises,208,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2010
Theft of motor vehicle and motorcycle,22,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2010
Theft out of or from motor vehicle,97,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2010
Stock-theft,8,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2010
All theft not mentioned elsewhere,216,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2010
Commercial crime,9,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2010
Shoplifting,5,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2010
Illegal possession of firearms and ammunition,10,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2010
Drug-related crime,919,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2010
Driving under the influence of alcohol or drugs,180,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2010
Sexual Offences detected as a result of police action,0,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2010
Murder,26,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2010
Attempted murder,19,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2010
Assault with the intent to inflict grievous bodily harm,203,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2010
Common assault,131,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2010
Common robbery,44,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2010
Robbery with aggravating circumstances,109,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2010
Rape,84,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2010
Sexual Assault,8,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2010
Attempted Sexual Offences,6,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2010
Contact Sexual Offences,4,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2010
Carjacking,9,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2010
Robbery at residential premises,32,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2010
Robbery at non-residential premises,13,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2010
Robbery of cash in transit,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2010
Bank robbery,1,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2010
Truck hijacking ,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2010
Arson,7,Kwadwesi,Contact-Related Crimes,-33.8410858,25.5230822,2010
Malicious damage to property,106,Kwadwesi,Contact-Related Crimes,-33.8410858,25.5230822,2010
Burglary at non-residential premises,8,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2010
Burglary at residential premises,226,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2010
Theft of motor vehicle and motorcycle,23,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2010
Theft out of or from motor vehicle,79,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2010
Stock-theft,1,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2010
All theft not mentioned elsewhere,238,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2010
Commercial crime,21,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2010
Shoplifting,43,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2010
Illegal possession of firearms and ammunition,10,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2010
Drug-related crime,58,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2010
Driving under the influence of alcohol or drugs,103,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2010
Sexual Offences detected as a result of police action,0,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2010
Murder,34,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2010
Attempted murder,26,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2010
Assault with the intent to inflict grievous bodily harm,668,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2010
Common assault,171,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2010
Common robbery,64,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2010
Robbery with aggravating circumstances,225,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2010
Rape,160,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2010
Sexual Assault,11,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2010
Attempted Sexual Offences,9,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2010
Contact Sexual Offences,10,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2010
Carjacking,22,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2010
Robbery at residential premises,29,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2010
Robbery at non-residential premises,22,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2010
Robbery of cash in transit,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2010
Bank robbery,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2010
Truck hijacking ,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2010
Arson,21,Kwanobuhle,Contact-Related Crimes,-33.8140582,25.3975369,2010
Malicious damage to property,197,Kwanobuhle,Contact-Related Crimes,-33.8140582,25.3975369,2010
Burglary at non-residential premises,68,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2010
Burglary at residential premises,408,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2010
Theft of motor vehicle and motorcycle,40,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2010
Theft out of or from motor vehicle,191,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2010
Stock-theft,14,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2010
All theft not mentioned elsewhere,207,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2010
Commercial crime,13,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2010
Shoplifting,7,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2010
Illegal possession of firearms and ammunition,11,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2010
Drug-related crime,621,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2010
Driving under the influence of alcohol or drugs,89,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2010
Sexual Offences detected as a result of police action,0,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2010
Murder,70,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2010
Attempted murder,89,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2010
Assault with the intent to inflict grievous bodily harm,753,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2010
Common assault,696,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2010
Common robbery,108,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2010
Robbery with aggravating circumstances,608,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2010
Rape,191,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2010
Sexual Assault,22,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2010
